Date,Open,High,Low,Close,Adj Close,Volume
2011-02-01,606.544983,628.357971,581.455017,622.908997,400.66275,158762747
2011-03-01,626.182007,652.702026,590.72699,648,416.801575,187810219
2011-04-01,651.27301,673.549011,636.544983,669.817993,430.835083,91333663
2011-05-01,669.27301,697.091003,662.182007,682.908997,439.255402,143297425
2011-06-01,662.182007,669.27301,634.364014,668.182007,429.782806,149846092
2011-07-01,673.635986,676.364014,646.364014,651.27301,433.815948,157639865
2011-08-01,656.182007,681.817993,295.091003,677.455017,451.256073,188341337
2011-09-01,679.091003,709.73999,656.72699,696.544983,463.971985,170374381
2011-10-01,683.455017,712.908997,673.635986,673.635986,448.712128,137909766
2011-11-01,670.364014,705.327026,656.182007,681.27301,453.799103,141469810
2011-12-01,682.364014,691.635986,643.635986,681.817993,463.393188,144951793
2012-01-01,681.817993,697.091003,660.544983,689.455017,468.583923,142393625
2012-02-01,696,710.72699,676.364014,699.817993,475.626831,134782300
2012-03-01,702.544983,720.544983,679.091003,687.817993,467.471161,129996496
2012-04-01,692.182007,735.817993,684,726,493.421356,116924965
2012-05-01,728.72699,752.182007,706.364014,709.091003,481.92923,142079738
2012-06-01,710.72699,742.908997,703.635986,736.908997,518.542603,137970581
2012-07-01,739.635986,758.575012,693.340027,722.72699,508.563141,181008590
2012-08-01,726.544983,770.320984,721.091003,745.635986,524.683533,127693120
2012-09-01,747.817993,768,735.817993,745.091003,524.299988,147968094
2012-10-01,747.271973,775.091003,744.544983,770.72699,542.339294,112750056
2012-11-01,768,784.66803,741.271973,769.091003,541.188171,161091798
2012-12-01,770.182007,790.875977,759.271973,766.908997,549.904114,99086532
2013-01-01,766.908997,777.817993,740.182007,754.362976,540.908203,134128517
2013-02-01,757.635986,801.817993,739.635986,795.817993,570.632996,147544998
2013-03-01,794.72699,840,783.271973,834.544983,598.401917,128596823
2013-04-01,834.544983,895.091003,834.544983,894,641.033386,116875609
2013-05-01,896.72699,926.72699,848.182007,855.817993,613.655457,131127053
2013-06-01,851.453979,864,775.635986,813.817993,583.539673,195171510
2013-07-01,818.182007,862.908997,801.271973,858,634.61853,126877836
2013-08-01,861.817993,892.094971,793.635986,810,599.115295,103215426
2013-09-01,813.271973,837.817993,793.575989,796.908997,589.432617,116685709
2013-10-01,796.908997,864.174988,791.088989,855.817993,633.004578,108868821
2013-11-01,858.544983,861.271973,822,845.453979,625.338806,110166771
2013-12-01,846,870,810,859.635986,635.828552,95219458
2014-01-01,859.635986,883.091003,838.908997,860.72699,647.899536,115140577
2014-02-01,859.635986,919.091003,848.182007,910.362976,685.262329,123592699
2014-03-01,900.544983,915.817993,881.453979,896.72699,674.997986,123695964
2014-04-01,900,921.271973,879.507996,916.908997,690.189758,138324039
